doi,title,sentence,char_len
10.1007/s41918-024-00215-y,"Recent Progress in Sodium-Ion Batteries: Advanced Materials, Reaction Mechanisms and Energy Applications","For hard carbon, its storage mechanism is still controversial .",63
10.1002/aenm.201702403,"Challenges on Developing Electrodes, Electrolytes and Diagnostics tools to Understand and Advance Sodium-ion Batteries",This SEI should be thin in order to allow sodium-ion transport.,63
10.1002/aenm.201501005,WlLEY-VCH Article type: Full Paper A novel high capacity positive electrode material with tunnel-type structure for aqueous sodium-ion batteries,Here we use the Na0.66[Mn0.66Ti0.34]O2 as a nominal composition.,64
10.1038/s41467-023-39637-5,Revealing the closed pore formation of waste wood-derived hard carbon for advanced sodium-ion battery,The first one is enough length of graphene sheets in hard carbon.,65
10.1038/s41467-019-12939-3,Structural water and disordered structure promote aqueous sodium-ion energy storage in sodium-birnessite,The kpoints of the cell was 1 12 4 ð Þand for the NaMnO 2 •H 2 O.,65
10.1038/srep17510,Porous three-dimensional graphene foam/Prussian blue composite for efficient removal of radioactive 137Cs,Synthesis of Prussian blue/reduced graphene oxide foam composite.,65
10.1002/aenm.201700959,Na-Ion Intercalation and Charge Storage Mechanism in Two-Dimensional Vanadium Carbide,Na/Na+) at 10 mAg-1 in a half cell using non-aqueous electrolyte.,65
10.1038/s41467-024-47522-y,Consummating ion desolvation in hard carbon anodes for reversible sodium storage,The mass ratio of electrolytes to hard carbons in the test is 1:1.,66
10.1002/adfm.201903795,Article type: Full Paper A Simple Electrode-Level Chemical Presodiation Route by Solution Spraying to Improve the Energy Density of Sodium-Ion Batteries,The mass loading of hard carbon active material was ~1.2 mg cm -2 .,67
10.1007/s41918-024-00215-y,"Recent Progress in Sodium-Ion Batteries: Advanced Materials, Reaction Mechanisms and Energy Applications",Sodium metal anode possesses high capacity and low redox potential.,67
10.1007/s41918-024-00215-y,"Recent Progress in Sodium-Ion Batteries: Advanced Materials, Reaction Mechanisms and Energy Applications","At present, PVDF, CMC, PAA, and PVA are widely used as SIB binders.",67
10.1038/s41467-022-35617-3,Surface-redox sodium-ion storage in anatase titanium oxide,"For sodium-ion storage, the potential window is set in 0.01-3 V vs.",67
10.1039/c4ta06186a,Phosphorus–carbon nanocomposite anodes for lithium-ion and sodium-ion batteries,"Recently, phosphorus has been tested as an anode for Na-ion battery.",68
10.1038/s41467-022-35617-3,Surface-redox sodium-ion storage in anatase titanium oxide,The operating potential of TiO 2 for sodium-ion storage (~0.75 V vs.,68
10.1038/s41467-024-47522-y,Consummating ion desolvation in hard carbon anodes for reversible sodium storage,"The hard carbon was synthesized according to previous reports 14,46 .",69
10.1002/adfm.201903795,Article type: Full Paper A Simple Electrode-Level Chemical Presodiation Route by Solution Spraying to Improve the Energy Density of Sodium-Ion Batteries,Sodium metal was then added with a Na/naphthalene molar ratio of 1/1.,69
10.1007/s41918-024-00215-y,"Recent Progress in Sodium-Ion Batteries: Advanced Materials, Reaction Mechanisms and Energy Applications","Therefore, FeS 2 @CF-NS showed significant sodium storage properties.",69
10.1038/s41598-019-52006-x,Natural biomass derived hard carbon and activated carbons as electrochemical supercapacitor electrodes,This again shows the disordered nature of all the hard carbon samples.,70
10.1002/aenm.202303833,Review: Insights on Hard Carbon Materials for Sodium‐Ion Batteries (SIBs): Synthesis – Properties – Performance Relationships,The hard carbon structure is of prime importance for Na-ion insertion.,70
10.1038/s41467-019-09170-5,NASICON-type air-stable and all-climate cathode for sodium-ion batteries with low cost and high-power density,"Thus, this material is also very promising for aqueous SIB systems 48 .",71
10.1038/s41467-023-39637-5,Revealing the closed pore formation of waste wood-derived hard carbon for advanced sodium-ion battery,The mass loading of hard carbon electrode in the pouch cell was ~80 mg.,71
10.1002/aenm.202303833,Review: Insights on Hard Carbon Materials for Sodium‐Ion Batteries (SIBs): Synthesis – Properties – Performance Relationships,Na-ion batteries have gained significant popularity in the last decade.,71
10.1038/s41467-022-30942-z,Niobium-doped layered cathode material for high-power and low-temperature sodium-ion batteries,Theoretical investigation of the Na-ion storage mechanism in P2-NaMNNb.,71
10.1038/s41467-019-12429-6,Zinc-doped Prussian blue enhances photothermal clearance of Staphylococcus aureus and promotes tissue repair in infected wounds,Prussian blue (PB) and its analogues are an important category of MOFs.,71
10.1038/s41467-019-09933-0,Sustainability-inspired cell design for a fully recyclable sodium ion battery,Fully rejuvenated electrochemical performance of the sodium ion battery.,72
10.1038/s41560-024-01701-9,Critically assessing sodium-ion technology roadmaps and scenarios for techno-economic competitiveness against lithium-ion batteries,"Importantly, however, this does not mean that Na-ion is not competitive.",72
10.1007/s41918-024-00215-y,"Recent Progress in Sodium-Ion Batteries: Advanced Materials, Reaction Mechanisms and Energy Applications",Soft carbon has been less studied than hard carbon as an anode for SIBs.,72
10.1038/s41467-021-26032-1,Achieving stable Na metal cycling via polydopamine/multilayer graphene coating of a polypropylene separator,"The Na-ion concentration of bottom boundary (i.e., outlet) was set to 0.",72
10.1039/c6ta04273b,Combination of solid state NMR and DFT calculation to elucidate the state of sodium in hard carbon electrodes,"Then, we report the process of degradation of sodium ions in the samples.",73
10.1002/aenm.202303833,Review: Insights on Hard Carbon Materials for Sodium‐Ion Batteries (SIBs): Synthesis – Properties – Performance Relationships,The reversible capacity of the hard carbon was identified versus Nametal.,73
10.1002/aenm.202303833,Review: Insights on Hard Carbon Materials for Sodium‐Ion Batteries (SIBs): Synthesis – Properties – Performance Relationships,Line defects are hard carbon imperfections caused by vacancy defects 215 .,74
10.1039/d0ee01363c,A revised mechanistic model for sodium insertion in hard carbons,Hard carbons were prepared by hydrothermal carbonisation (HTC) of glucose.,74
10.1021/am507679x,A Low-Surface-Area Hard Carbon Anode for Na-Ion Batteries via Graphene Oxide as a Dehydration Agent,We evaluate the Na-ion storage properties of the as-obtained hard carbons.,74
10.1039/c8ta09422e,A Novel P3-type Na2/3Mg1/3Mn2/3O2 as High Capacity Sodium-Ion Cathode Using Reversible Oxygen Redox,Na + /Na) for the newly synthesized P3-type Na 2/3 Mg 1/3 Mn(IV) 2/3 O 2 .,74
10.1039/d1ee01346g,Homogenous metallic deposition regulated by defect-rich skeletons for sodium metal batteries,Prussian blue was prepared based on the reported method in literature (Fig.,75
10.1038/s41467-022-30942-z,Niobium-doped layered cathode material for high-power and low-temperature sodium-ion batteries,Electrochemical characterizations of the Hard Carbon||P2-NaMNNb coin cells.,75
10.1002/aenm.202303833,Review: Insights on Hard Carbon Materials for Sodium‐Ion Batteries (SIBs): Synthesis – Properties – Performance Relationships,"In particular, hard carbon materials have several surface functional groups.",76
10.1038/s41467-024-47522-y,Consummating ion desolvation in hard carbon anodes for reversible sodium storage,"Subsequently, the porous feature of hard carbon was systematically analyzed.",76
10.1038/s41598-019-52006-x,Natural biomass derived hard carbon and activated carbons as electrochemical supercapacitor electrodes,Synthesis of H 3 PO 4 activated hard carbon from banana stem (PHC) from KHC.,76
10.1007/s41918-024-00215-y,"Recent Progress in Sodium-Ion Batteries: Advanced Materials, Reaction Mechanisms and Energy Applications",CuS-NTAs@GDY exhibited excellent electrochemical sodium storage capabilities.,77
10.1038/s41467-017-00211-5,Alkaline earth metal vanadates as sodium-ion battery anodes,The sample annealed at 450 °C (marked as SVO-450) was tested as an SIB anode.,77
10.1038/s41598-019-52006-x,Natural biomass derived hard carbon and activated carbons as electrochemical supercapacitor electrodes,The pyrolyzed carbon material was ground to obtain fine powder of hard carbon.,78
10.1039/c4ta06467d,Recent developments in electrode materials for sodium-ion batteries,The reversibility of sodium insertion is usually worse than lithium insertion.,78
10.1038/s41467-024-47522-y,Consummating ion desolvation in hard carbon anodes for reversible sodium storage,The ICE was tested through Na Hard carbon half cells at different aging times.,78
10.1007/s41918-024-00215-y,"Recent Progress in Sodium-Ion Batteries: Advanced Materials, Reaction Mechanisms and Energy Applications","In recent years, electrospinning has also gained popularity in sodium storage.",78
10.1039/c9ta12376h,Manganese hexacyanoferrate reinforced by PEDOT coating towards high-rate and long-life sodium-ion battery cathode,Prussian blue analogues hold great promise as cathodes in sodium ion batteries.,79
10.1039/c4ee03361b,High-performance symmetric sodium-ion batteries using a new bipolar material O3-type Na 0.8 Ni 0.4 Ti 0.6 O 2,O3-type Na0.8Ni0.4Ti0.6O2 raw materials are synthesized by solidstate reaction.,79
10.1038/s41467-021-26032-1,Achieving stable Na metal cycling via polydopamine/multilayer graphene coating of a polypropylene separator,"In the simulation, the effect of pore size on Na-ion distribution are compared.",79
10.1021/acsaem.0c01614,Sodium Storage Mechanism Investigations through Structural Changes in Hard Carbons,In the plateau region sodium ion storage mechanism dominates over pore filling.,79
10.1002/aenm.201702403,"Challenges on Developing Electrodes, Electrolytes and Diagnostics tools to Understand and Advance Sodium-ion Batteries",O3-NaCrO 2 material has also attracted considerable interest as an SIB cathode.,79
10.1039/c6sc02716d,Greigite Fe<sub>3</sub>S<sub>4</sub> as a new anode material for high-performance sodium-ion batteries,"Herein, we demonstrate Fe 3 S 4 as a promising host-material for sodium storage.",80
10.1038/s41467-021-25610-7,Boron-doped sodium layered oxide for reversible oxygen redox reaction in Na-ion battery cathodes,Boron has also been studied as a cathode dopant for Li-ion and Na-ion batteries.,80
10.1039/c6ee02641a,Self-polymerized dopamine as an organic cathode for Li- and Na-ion batteries,"However, the redox properties of polydopamine with Li-or Na-ions remain unclear.",80
10.1021/am507679x,A Low-Surface-Area Hard Carbon Anode for Na-Ion Batteries via Graphene Oxide as a Dehydration Agent,The mass loading of hard carbon is about 2.5 mg/cm 2 with a thickness of ~40 μm.,80
10.1038/s41467-024-47522-y,Consummating ion desolvation in hard carbon anodes for reversible sodium storage,The hard carbon electrode used here was prepared by mixing hard carbon and PVDF.,80
10.1007/s41918-024-00215-y,"Recent Progress in Sodium-Ion Batteries: Advanced Materials, Reaction Mechanisms and Energy Applications",The mechanism of sodium ions storage for TMSs was studied by ex situ XRD and XPS.,81
10.1039/c6ee00640j,Life cycle assessment of sodium-ion batteries,"Only for MEP, the SIB shows the highest impacts among all compared battery types.",81
10.1002/aenm.201700514,Additional Sodium Insertion into Polyanionic Cathodes for Higher‐Energy Na‐Ion Batteries,This framework creates pseudolayers in which sodium ions are inserted (Figure 1).,81
10.1038/s41467-022-32190-7,Fundamental investigations on the sodium-ion transport properties of mixed polyanion solid-state battery electrolytes,"Importantly, an increase in Si concentration in NASICON lowers the average E KRA .",82
10.1007/s41918-024-00215-y,"Recent Progress in Sodium-Ion Batteries: Advanced Materials, Reaction Mechanisms and Energy Applications",Yu et al. grew fully crystallized carbon in hard carbon precursors by calcination.,82
10.1038/s41467-020-14444-4,Reversible structural evolution of sodium-rich rhombohedral Prussian blue for sodium-ion batteries,Sodium metal was cut and pressed to form the foil to be used as counter electrode.,82
10.1038/s41467-019-13240-z,Structural insights into the formation and voltage degradation of lithium- and manganese-rich layered oxides,"Indeed, both rhombohedral phase and monoclinic phase possess an O3-type structure.",82
10.1002/aenm.202303833,Review: Insights on Hard Carbon Materials for Sodium‐Ion Batteries (SIBs): Synthesis – Properties – Performance Relationships,Polymerization reactions have also been widely explored for hard carbon synthesis.,82
10.1039/c7ra07231g,Pinecone biomass-derived hard carbon anodes for high-performance sodium-ion batteries,Our tests of PHC in half-cells as anodes in sodium-ion battery show similar trend.,82
10.1038/s41467-024-47522-y,Consummating ion desolvation in hard carbon anodes for reversible sodium storage,"For the XPS tests of cycled hard carbon electrodes, F-free SA was used as binders.",82
10.1038/ncomms10308,Insertion compounds and composites made by ball milling for advanced sodium-ion batteries,"For negative electrodes comprising sodium metal, Na x Sb is the most attractive 4 .",83
10.1007/s41918-024-00215-y,"Recent Progress in Sodium-Ion Batteries: Advanced Materials, Reaction Mechanisms and Energy Applications",Yi et al. took hard carbon as an example to explore the influence of electrolytes .,83
10.1002/aenm.201700959,Na-Ion Intercalation and Charge Storage Mechanism in Two-Dimensional Vanadium Carbide,The origin of this Na+ trapping in the V2CTx structure is not fully understood yet.,83
10.1007/s41918-024-00215-y,"Recent Progress in Sodium-Ion Batteries: Advanced Materials, Reaction Mechanisms and Energy Applications",Na + ions of NASICON with fast mobility are located in the gap formed by the frame.,83
10.1038/s41467-022-30113-0,Entropy and crystal-facet modulation of P2-type layered cathodes for long-lasting sodium-based batteries,P2-typed structure can lead to increased interlayer spacing (Supplementary Fig. 1).,83
10.1039/c4ta06467d,Recent developments in electrode materials for sodium-ion batteries,"For the cathodic component, we will focus on sodium intercalation alkali compounds.",83
10.1039/c4ta06467d,Recent developments in electrode materials for sodium-ion batteries,"Moreover, graphene also remains a promising anode material for sodium-ion batteries.",84
10.1038/s41467-018-03257-1,Monovalent manganese based anodes and co-solvent electrolyte for stable low-cost high-rate sodium-ion batteries,All components of our full Na-ion battery cells are inexpensive commodity materials.,84
10.1039/c8ee02991a,Nature of the “Z”-phase in layered Na-ion battery cathodes,"Na 2/3 [Ni 1/3 Mn 2/3 ]O 2 , are regarded as candidates for Na-ion battery cathodes.",84
10.1002/aenm.201702403,"Challenges on Developing Electrodes, Electrolytes and Diagnostics tools to Understand and Advance Sodium-ion Batteries",The goal is to enable sodium metal batteries that can provide higher energy density.,84
10.1002/aenm.201602894,Mechanism of Na-Ion Storage in Hard Carbon Anodes Revealed by Heteroatom Doping,Currently the most promising candidate is an allotrope of carbon called hard carbon.,84
10.1007/s40820-023-01232-0,High-Entropy Layered Oxide Cathode Enabling High-Rate for Solid-State Sodium-Ion Batteries,This work offers novel perspectives for the utilization of HEOs in Na-ion batteries.,84
10.1038/s41467-021-26032-1,Achieving stable Na metal cycling via polydopamine/multilayer graphene coating of a polypropylene separator,Computational investigation on the Na-ion affinity and redistribution effect of mPG.,84
10.1038/ncomms15888,Sodium vanadium titanium phosphate electrode for symmetric sodium-ion batteries with high power and long lifespan,The NASICON-type Na 2 VTi(PO 4 ) 3 @C nanocomposite was prepared by a sol-gel method.,85
10.1038/s41467-022-30113-0,Entropy and crystal-facet modulation of P2-type layered cathodes for long-lasting sodium-based batteries,The tested CuMgTi-571 and NaMNO 2 materials were scraped from 4.2 V-charged cathodes.,85
10.1038/s41467-022-30113-0,Entropy and crystal-facet modulation of P2-type layered cathodes for long-lasting sodium-based batteries,Figure 6c-f show the average D Na+ of CuMgTi-571 and NaMNO 2 in four voltage regions.,85
10.1021/acsaem.0c01614,Sodium Storage Mechanism Investigations through Structural Changes in Hard Carbons,It is clearly seen that sodium intercalation in GC1900 is energetically unfavourable.,85
10.1007/s40820-017-0172-2,Growth of SnO2 Nanoflowers on N-doped Carbon Nanofibers as Anode for Li- and Na-ion Batteries,And the oxidation peak at 1.25 V corresponds to the de-intercalation of sodium ions .,85
10.1002/aenm.201702403,"Challenges on Developing Electrodes, Electrolytes and Diagnostics tools to Understand and Advance Sodium-ion Batteries",Here we focus on the doping in the T M sites and O sites for P2-and O3-type cathodes.,85
10.1039/c6ee00640j,Life cycle assessment of sodium-ion batteries,Sodium-ion batteries are emerging as potential alternatives to lithium-ion batteries.,85
10.1038/s41467-022-35617-3,Surface-redox sodium-ion storage in anatase titanium oxide,The sodium-ion storage mechanism of TiO 2 (A) is summarized schematically in Fig. 3a.,85
10.1002/aenm.202303833,Review: Insights on Hard Carbon Materials for Sodium‐Ion Batteries (SIBs): Synthesis – Properties – Performance Relationships,"Rather, a decrease in the reversible capacity of hard carbon electrodes was observed.",85
10.1038/s41467-018-07646-4,Manganese based layered oxides with modulated electronic and thermodynamic properties for sodium ion batteries,"The corresponding P2-type crystal structure of NLMO or NLMO-Zn is shown in Fig. 3d,e.",85
10.1007/s40820-018-0200-x,Improved Electrochemical Performance Based on Nanostructured SnS 2 @CoS 2 -rGO Composite Anode for Sodium-Ion Batteries,"In addition, a reduction peak at 0.07 V corresponds to sodium-ion storage on the rGO.",85
10.1038/srep12571,Exfoliated MoS2 Sheets and Reduced Graphene Oxide-An Excellent and Fast Anode for Sodium-ion Battery,It reflects higher degree of reversible sodium intercalation/de-intercalation process.,86
10.1038/s41467-023-39385-6,Enabling long-cycling aqueous sodium-ion batteries via Mn dissolution inhibition using sodium ferrocyanide electrolyte additive,"PB-S1, an Mn-based Prussian blue, was obtained by the same route as NaMnF preparation.",86
10.1002/aenm.201702781,Article type: Full Paper Insights into the Na + Storage Mechanism of Phosphorus-Functionalized Hard Carbon as Ultra-High Capacity Anodes,"Therefore, hard carbon as a typical nongraphitic carbon has become a research hotspot.",86
10.1002/aenm.202303833,Review: Insights on Hard Carbon Materials for Sodium‐Ion Batteries (SIBs): Synthesis – Properties – Performance Relationships,A similar effect was observed when rice husks were used as hard carbon precursors 133 .,87
10.1039/c6cc06990h,Mechanistic insights into sodium storage in hard carbon anodes using local structure probes,"S2, ESI †), implying nonparallel stacking of graphene fragments within the hard carbon.",87
10.1002/aenm.201700959,Na-Ion Intercalation and Charge Storage Mechanism in Two-Dimensional Vanadium Carbide,Na/Na+) while all of the subsequent CV cycles exhibit the stable quasi-rectangular CVs.,87
10.1038/s41467-017-00157-8,Environmentally stable interface of layered oxide cathodes for sodium-ion batteries,Sodium-ion batteries are strategically pivotal to achieving large-scale energy storage.,87
10.1021/acsaem.0c01614,Sodium Storage Mechanism Investigations through Structural Changes in Hard Carbons,The sloping region is partly attributed to sodium storage in expanded graphitic stacks.,87
10.1038/s41467-022-30942-z,Niobium-doped layered cathode material for high-power and low-temperature sodium-ion batteries,P2-NaMNNb was also tested in combination with a hard carbon (HC) anode active material.,87
10.1002/aenm.202303833,Review: Insights on Hard Carbon Materials for Sodium‐Ion Batteries (SIBs): Synthesis – Properties – Performance Relationships,"The plateau region is due to Na atom insertion into the hard carbon micropores 20,284 .",87
10.1038/s41467-024-47522-y,Consummating ion desolvation in hard carbon anodes for reversible sodium storage,The specific currents shown in the text are based on the mass of the hard carbon anode.,87
10.1038/s41467-024-47522-y,Consummating ion desolvation in hard carbon anodes for reversible sodium storage,"After 10 cycles, the pore volume of hard carbon shrinks in both electrolytes (Fig. 4f).",87
10.1039/d3ta06641j,Research progress of Prussian blue and its analogues for cathodes of aqueous zinc ion batteries,The analogues of Prussian blue synthesized by coprecipitation are summarized in Table 2.,88
10.1007/s40820-020-00567-2,High-Energy and High-Power Pseudocapacitor–Battery Hybrid Sodium-Ion Capacitor with Na+ Intercalation Pseudocapacitance Anode,It is the first time that the FeVO is regarded as anode material for sodium-ion storage.,88
10.1038/s41467-023-39637-5,Revealing the closed pore formation of waste wood-derived hard carbon for advanced sodium-ion battery,All precursors of hard carbon samples in this work were waste woods purchased on Taobao.,88
10.1039/c8ta09422e,A Novel P3-type Na2/3Mg1/3Mn2/3O2 as High Capacity Sodium-Ion Cathode Using Reversible Oxygen Redox,Charge storage of the conventional intercalation-based Li/Na-ion cathode materials (e.g.,88
10.1038/s41467-024-47522-y,Consummating ion desolvation in hard carbon anodes for reversible sodium storage,The hard carbon anode was pasted on the loading chamber with a vacuum transfer function.,88
10.1038/s41467-020-15938-x,Operando visualisation of battery chemistry in a sodium-ion battery by 23Na magnetic resonance imaging,Sodium metal cells were constructed using a Swagelok cell design (Supplementary Fig. 1b).,89
10.1007/s41918-024-00215-y,"Recent Progress in Sodium-Ion Batteries: Advanced Materials, Reaction Mechanisms and Energy Applications",Soft carbon has more local defects and exhibits higher sodium potential than hard carbon.,89
10.1038/s41467-021-23132-w,Rapid mechanochemical synthesis of polyanionic cathode with improved electrochemical performance for Na-ion batteries,Na-ion batteries have been considered promising candidates for stationary energy storage.,89
10.1038/s41598-019-52006-x,Natural biomass derived hard carbon and activated carbons as electrochemical supercapacitor electrodes,Similar peaks showing the formation of hard carbon were also observed in other cases 51 .,89
10.1002/aenm.202303833,Review: Insights on Hard Carbon Materials for Sodium‐Ion Batteries (SIBs): Synthesis – Properties – Performance Relationships,"Generally, a hard carbon derived from a given precursor preserves its natural morphology.",89
10.1038/s41467-024-47522-y,Consummating ion desolvation in hard carbon anodes for reversible sodium storage,"After the final etching, the C 1s peak of hard carbon is closer to the standard C-C bond.",89
10.1039/c8ta09422e,A Novel P3-type Na2/3Mg1/3Mn2/3O2 as High Capacity Sodium-Ion Cathode Using Reversible Oxygen Redox,"Synthesis of P3-type Na 2/3 Mg 1/3 Mn 2/3 O 2 Stoichiometric amounts of NaNO 3 (99.7%, J.",89
10.1021/acsaem.0c01614,Sodium Storage Mechanism Investigations through Structural Changes in Hard Carbons,"The resulting hard carbon samples are denoted GC1000, GC1300, GC1500, GC1700, and GC1900.",89
10.1038/s41467-024-47522-y,Consummating ion desolvation in hard carbon anodes for reversible sodium storage,The diameter of the hard carbon electrode is 10 mm with a mass loading of ~0.9 mg cm -2 .,89
10.1038/s41467-024-47522-y,Consummating ion desolvation in hard carbon anodes for reversible sodium storage,The hard carbon||NNCFM full cells are aged for 10 days at OCP before conducting the test.,89
10.1038/s41560-024-01701-9,Critically assessing sodium-ion technology roadmaps and scenarios for techno-economic competitiveness against lithium-ion batteries,"They include transition metal layered oxides, polyanions and Prussian Blue analogues 37 .",89
10.1038/ncomms7544,Pseudocapacitance of MXene nanosheets for high-power sodium-ion hybrid capacitors,High-power Na-ion batteries have tremendous potential in various large-scale applications.,90
10.1002/aenm.202303833,Review: Insights on Hard Carbon Materials for Sodium‐Ion Batteries (SIBs): Synthesis – Properties – Performance Relationships,This means that the hard carbon kinetics and rate capability are detrimental to this step.,90
10.1039/c5ta05769h,BNL-108557-2015-JA O3-type Layered Transition Metal Oxide Na(NiCoFeTi)i/4O2 as a High Rate and Long Cycle Life Cathode Material for Sodium Ion Batteries,"If the Na-ions are extracted further (x<0.5), the peak will shift to higher 29 angle (Fig.",90
10.1021/am507679x,A Low-Surface-Area Hard Carbon Anode for Na-Ion Batteries via Graphene Oxide as a Dehydration Agent,"However, it is still much lower than that of the hard carbon obtained without GO addition.",90
10.1038/s41467-022-32190-7,Fundamental investigations on the sodium-ion transport properties of mixed polyanion solid-state battery electrolytes,The partial occupancy of these sites gives rise to the high ionic conductivity in NASICON.,90
10.1038/s41467-020-15938-x,Operando visualisation of battery chemistry in a sodium-ion battery by 23Na magnetic resonance imaging,Sodium-ion batteries are a promising battery technology for their cost and sustainability.,90
10.1038/s41467-024-47522-y,Consummating ion desolvation in hard carbon anodes for reversible sodium storage,The Na hard carbon half-cell was tested in the potential range of 0.005-2.5 V vs Na + /Na.,90
10.1038/s41598-019-52006-x,Natural biomass derived hard carbon and activated carbons as electrochemical supercapacitor electrodes,The annealed and dried black hard carbon was ground to produce fine powder denoted as PHC.,90
10.1038/s41467-018-03257-1,Monovalent manganese based anodes and co-solvent electrolyte for stable low-cost high-rate sodium-ion batteries,The novel Mn 1+ /Mn 2+ redox couple enables MnHCMn to be an excellent Na-ion battery anode.,91
10.1021/acsaem.0c01614,Sodium Storage Mechanism Investigations through Structural Changes in Hard Carbons,"Hence, in the hard carbon samples with more oxygen content and oxygen surface defects (i.e.",91
10.1002/aenm.202303833,Review: Insights on Hard Carbon Materials for Sodium‐Ion Batteries (SIBs): Synthesis – Properties – Performance Relationships,"Among (0D) architectures, the spherical shape is particularly interesting for hard carbons.",91
10.1038/s41467-017-00157-8,Environmentally stable interface of layered oxide cathodes for sodium-ion batteries,Figure 5c-e illustrates the comprehensive sodium storage performance of the NMTN electrode.,91
10.1038/s41598-020-66148-w,Investigation on the Electrochemical Performances of Mn2O3 as a Potential Anode for Na-Ion Batteries,"Therefore, the results demonstrate strong evidence for its application in Na-ion batteries.",91
10.1007/s41918-024-00215-y,"Recent Progress in Sodium-Ion Batteries: Advanced Materials, Reaction Mechanisms and Energy Applications",Ionic liquid electrolytes are regarded as the next generation of sodium ionic electrolytes.,91
10.1038/ncomms7544,Pseudocapacitance of MXene nanosheets for high-power sodium-ion hybrid capacitors,"Here, we report on Ti 2 CT x as a negative electrode material for Na-ion hybrid capacitors.",91
10.1038/s41467-022-35617-3,Surface-redox sodium-ion storage in anatase titanium oxide,"For sodium-ion storage measurements, the slurry was cast onto Al foil using doctor blading.",91
