doi,title,year,abstract,citations,source
10.1007/s11581-024-05882-x,Development and fabrication of an advanced NVPF@C/rGO composite cathode for improved sodium-ion battery performance,2024,,3,crossref
10.1149/ma2015-01/2/257,Sodium-Ion Battery Cathode Material Synthesized By Spray Pyrolysis,2015,"<jats:p>Lithium-ion batteries have been the dominant choice for batteries for decades, however there are concerns related to the limited availability of lithium, which could potentially increase the cost and affect further implementation. As a promising alternative, sodium-ion batteries have attracted significant attention in recent years [1, 2]. The potential markets for sodium-ion batteries could range from devices where cycle life and cost are more prevailing factors than energy density, such",0,crossref
10.3389/fchem.2020.00635,Research Progress on Na3V2(PO4)3 Cathode Material of Sodium Ion Battery,2020,,68,crossref
10.1007/s11581-018-2442-5,P2-type Na0.67Mn0.6Fe0.4-x-yZnxNiyO2 cathode material with high-capacity for sodium-ion battery,2018,,17,crossref
10.1016/j.matlet.2016.04.160,Development of fiber-type potassium-based cathode for sodium ion battery,2016,,3,crossref
10.1149/ma2016-03/2/1209,Design of High Rate Performance Sodium-Ion Battery Cathode Materials,2016,<jats:p> 	Sodium ion batteries (NIB) remain attractive to many battery researchers because the earth-abundance of Na opens up a pathway for significant cost reductions in the fabrication of batteries that maintain a high energy density. The cost advantage of Na over Li will only translate into low cost batteries if the concept of earth-abundance is applied consistently. This implies moving away from electrode materials analogous to those in Li-ion batteries which typically contain costly transit,1,crossref
10.2139/ssrn.4179231,A New Perspective for Ni-Doping into Tunnel Type Na0.44mno2 Nanorods: Enhanced T/P2 Hybrid Cathode Material for Sodium-Ion Battery,2022,,0,crossref
10.1016/j.materresbull.2023.112594,High-performance ε-VOPO4 cathode materials for sodium ion battery applications,2024,,4,crossref
10.1016/j.electacta.2017.08.175,γ'-V2O5: A new high voltage cathode material for sodium-ion battery,2017,,38,crossref
10.1016/j.clay.2021.106265,Conductive halloysite clay nanotubes for high performance sodium ion battery cathode,2021,,27,crossref
10.1149/ma2016-03/2/352,Reaction Mechanism of Alluaudite Sodium Iron Sulphate As High Energy Density Cathode Material for Na-Ion Battery,2016,<jats:p> 	The sodium-ion battery system is now growing as a potential alternative to the lithium-ion battery for large energy storage systems. The ubiquitous element Na allows us to realize stable production of large scale storages for broader applications. Electrode materials for the Na system is under intensive development by many battery researchers to make properties of the Na-ion battery comparable to those of Li-ion battery. In such pursuit we developed an ideal cathode material with abund,0,crossref
10.1149/1945-7111/ad7291,Bi-Doped P2 layered Sodium-Ion Battery Cathode with Improved Cycling Stability,2024,"<jats:p>P2-phased layered oxide materials have been extensively studied as cathode material for sodium-ion batteries due to their high capacities and ionic conductivities, making them promising for large-scale applications. Additionally, manganese-based compounds, with their low cost and high capacity, have attracted significant attention in recent years. However, challenges remain regarding durability issues and related structural instability caused by the Jahn-Teller effect induced by Mn<jats:",2,crossref
10.1016/j.jallcom.2025.183244,Recent progress of Prussian white analogues as cathode active material for sodium-ion battery,2025,,2,crossref
10.1134/s1063785025600061,Sodium Ferrate Synthesized in a Solar Furnace: a Cathode Material for a Sodium-Ion Battery,2025,,0,crossref
10.2139/ssrn.4156210,Ptfe-Derived Carbon-Coated Na3v2(Po4)2f3 Cathode Material for High-Performance Sodium Ion Battery,2022,,0,crossref
10.1149/ma2023-015879mtgabs,In Operando Strain Evolution in Sodium Chromium Oxide Cathode for Na-Ion Batteries during Battery Cycling,2023,"<jats:p>  	Layer-structured Na intercalation compounds such as Na<jats:sub>x</jats:sub>MO<jats:sub>2</jats:sub> (M=Co, Mn, Cr) have attracted much attention as cathode materials for sodium-ion batteries due to their high volumetric and gravimetric energy densities. Among them, NaCrO<jats:sub>2</jats:sub> with layered rock salt structure is one of the promising cathodes since NaCrO<jats:sub>2</jats:sub> has a desirable flat and smooth charge/discharge voltage plateau.<jats:sup>1</jats:sup> In add",0,crossref
10.1007/s12274-023-6005-3,Fluorophosphates and fluorosulfates cathode materials: Progress towards high energy density sodium-ion battery,2023,,26,crossref
10.1149/ma2025-025799mtgabs,Investigating the Impact of 0 V Storage on Prussian White Cathode-Based Sodium-Ion Battery Cells,2025,"<jats:p>
                    Sodium-ion batteries (SIBs) represent the next generation of sustainable and low-cost energy storage systems. Although their energy density with respect to lithium-ion batteries (LIBs) is generally lower, they have a great potential in applications, such as stationary large-scale storage and light electric vehicles due to their lower costs and higher sustainability.
                    <jats:sup>1</jats:sup>
                    An important additional characteristic ",0,crossref
10.1557/s43580-023-00611-4,A study of fabrication and characterization of NaxMnO2 as a cathode material for sodium-ion battery,2023,,3,crossref
10.31635/renewables.023.202200012,"Ti, F Codoped Sodium Manganate of Layered P2-Na
            <sub>0.7</sub>
            MnO
            <sub>2.05</sub>
            Cathode for High Capacity and Long-Life Sodium-Ion Battery",2023,,0,crossref
10.1149/2.0041505eel,Beyond Divalent Copper: A Redox Couple for Sodium Ion Battery Cathode Materials,2015,,46,crossref
10.1016/j.cclet.2025.111173,Cu/Sb induced minimal lattice distortion for the development of high-performance sodium-ion battery cathode materials,2025,,4,crossref
10.2139/ssrn.4257555,K+-Doped P2-Na0.67fe0.5mn0.5o2 Cathode for Highly Enhanced Rate Performance Sodium-Ion Battery,2022,,0,crossref
10.1016/j.matchemphys.2018.11.078,Excellent cycle stability of P2 Na0.67Co0.25Mn0.705V0.045O2@ NaV6O15 composite cathode for sodium ion battery,2019,,10,crossref
10.1007/s11581-020-03592-8,Stable prismatic layer structured cathode material via Cation mixing for sodium ion battery,2020,,7,crossref
10.1149/ma2018-01/1/51,Cycling Performance of Sodium Ion Battery Comprised of Naphthalene Based Polyimide/MWCNT Composite Cathode and Highly Porous Polyvinylidene Fluoride Separator Membrane,2018,"<jats:p> 	Large scale energy storage is the key to incorporating renewable resources like wind, tidal, and solar into power grid allowing us to use these resources when power is needed. High cost and less availability of lithium metal hampers the usage of the present reigning energy storage champion-lithium ion batteries (LIBs) in large scale applications. Sodium ion batteries (NIBs) could provide an alternative solution for expensive LIBs because sodium is the 4<jats:sup>th</jats:sup> most abun",0,crossref
10.1016/j.seppur.2023.125332,Upcycling of spent LiMn2O4 cathode towards sodium-ion battery cathode through molten salt electrolysis approach,2024,,7,crossref
10.1021/acsaem.1c01915,Virtual Screening of Residual Sodium-Reactive Coating Materials for the Enhancement of the Electrochemical Properties of a Sodium-Ion Battery Cathode,2021,,5,crossref
10.1149/ma2015-03/2/560,Aqueous Sodium-Ion Battery As Post Lithium-Ion Battery,2015,"<jats:p>Three kinds of secondary batteries, nickel metal hydride, Li-ion and Na/S battery were commercialized in Japan for the first time. Among them, Li-ion battery became the most popular power sources for PDA, because of the highest energy density. However, Li-ion battery is difficult to use for large-scale batteries, because its organic electrolytes are flammable, expensive and less conductive. </jats:p>
               <jats:p>     Recently, aqueous electrolyte has been recognized as an attr",0,crossref
10.1007/s11581-023-05277-4,Effects of the Mn/Ni ratio on the battery performance of layered Na-Ni-Mn oxide cathode materials in sodium-ion batteries,2023,,4,crossref
10.3389/fenrg.2022.909549,Investigation of Valence Mixing in Sodium-Ion Battery Cathode Material Prussian White by Mössbauer Spectroscopy,2022,"<jats:p>Prussian white (PW), Na<jats:sub>2</jats:sub>Fe [Fe(CN)<jats:sub>6</jats:sub>], is a highly attractive cathode material for sustainable sodium-ion batteries due to its high theoretical capacity of ∼170 mAhg<jats:sup>−1</jats:sup> and low-cost synthesis. However, there exists significant variability in the reported electrochemical performance. This variability originates from compositional flexibility possible for all Prussian blue analogs (PBAs) and is exasperated by the difficulty of ac",7,crossref
10.1016/j.commatsci.2022.111292,First principle calculations on pristine and Mn-doped iron fluorophosphates as sodium-ion battery cathode materials,2022,,25,crossref
10.1149/08513.0045ecst,Cycling Performance of Sodium Ion Battery Comprised of Naphthalene Based Polyimide/MWCNT Composite Cathode and Highly Porous Polyvinylidene Fluoride Separator Membrane,2018,,2,crossref
10.1007/s11706-018-0414-3,Mo-doped Na3V2(PO4)3@C composites for high stable sodium ion battery cathode,2018,,32,crossref
10.31635/renewables.022.202200012,"Ti, F Codoped Sodium Manganate of Layered P2-Na
            <sub>0.7</sub>
            MnO
            <sub>2.05</sub>
            Cathode for High Capacity and Long-Life Sodium-Ion Battery",2023,,26,crossref
10.1149/2.0201514jes,Review—Manganese-Based P2-Type Transition Metal Oxides as Sodium-Ion Battery Cathode Materials,2015,,491,crossref
10.3390/batteries9090461,Understanding High-Voltage Behavior of Sodium-Ion Battery Cathode Materials Using Synchrotron X-ray and Neutron Techniques: A Review,2023,"<jats:p>Despite substantial research efforts in developing high-voltage sodium-ion batteries (SIBs) as high-energy-density alternatives to complement lithium-ion-based energy storage technologies, the lifetime of high-voltage SIBs is still associated with many fundamental scientific questions. In particular, the structure phase transition, oxygen loss, and cathode–electrolyte interphase (CEI) decay are intensely discussed in the field. Synchrotron X-ray and neutron scattering characterization te",9,crossref
10.54097/x8wyc672,Feasibility analysis of replacing lithium-ion battery with sodium ion battery,2024,"<jats:p>Since the beginning of the 21st century, the global energy crisis has become a pressing issue, prompting researchers to explore more efficient ways of utilizing energy production and storage technologies in our daily lives. In recent years, there have been major improvements in lithium-ion batteries (LIBs) technology, considerably improving living conditions globally. LIBs are currently commonly employed in electric cars. However, the efficient distribution of renewable energy and smart ",2,crossref
10.1007/s12274-023-6133-9,Interfacial engineering of the layered oxide cathode materials for sodium-ion battery,2023,,51,crossref
10.1016/j.jpowsour.2024.235734,"Boosting sodium-ion battery performance with vanadium substituted Fe, Ni dual doped fluorophosphate cathode over a wide temperature range",2025,,6,crossref
10.1007/s11581-025-06510-y,"Feasibility of NaMNbO4 and NaMSbO4 (M = Ni, Co, Mn, Fe) for their use as high voltage cathode materials in sodium ion battery—a DFT study",2025,,0,crossref
10.1002/batt.202400486,Nickel‐Manganese‐Based Layered Oxide for Sodium Ion Battery Cathode Materials,2024,"<jats:title>Abstract</jats:title><jats:p>Sodium‐ion batteries (SIBs) have demonstrated significant potential as alternatives to conventional lithium‐ion batteries (LIBs) for modern grid and mobile energy storage applications, due to the abundant natural resources and low cost of sodium. Layered transition metal oxides (LTMOs) have attracted much attention due to their high specific capacities, energy densities as well as the compatible preparation processes with those of LIBs cathode materials. ",2,crossref
10.1088/1361-6528/ac1718,"Superior sodium storage of Na
                    <sub>3</sub>
                    V(PO
                    <sub>3</sub>
                    )
                    <sub>3</sub>
                    N nanofibers as a high voltage cathode for flexible sodium-ion battery devices",2021,"<jats:title>Abstract</jats:title>
                  <jats:p>
                    The cathode materials for sodium-ion batteries are always the key issues for the ultimate success of large-scale energy storage systems. The nitrogen-dope polyanionic type material is one of the important high voltage candidates. Herein, we have developed a simple and facile method to synthesize a high voltage cathode material, Na
                    <jats:sub>3</jats:sub>
                    V(PO
                  ",6,crossref
10.1016/j.jechem.2017.08.021,Ultrahigh rate binder-free Na3V2(PO4)3/carbon cathode for sodium-ion battery,2018,,41,crossref
10.1016/j.commatsci.2017.11.022,Thioindigo: A novel cathode material of sodium ion battery predicted through dispersion-corrected density functional theory,2018,,5,crossref
10.1016/j.ensm.2017.08.007,NaVPO4F with high cycling stability as a promising cathode for sodium-ion battery,2018,,102,crossref
10.1149/ma2022-02642332mtgabs,Nano-Crystallites of P2-Type Layered Transition Metal Oxide High Voltage Cathode for Sodium-Ion Battery,2022,"<jats:p>  	In this era of transitioning from conventional sources of energy to non-conventional, sodium-ion battery research has been burgeoning as an indigenous solution to energy storage applications, considering the sustainability, cost effectiveness, high availability and a familiar redox chemistry <jats:sup>1</jats:sup>. P2-type Na<jats:sub>2/3</jats:sub>Ni<jats:sub>1/3</jats:sub>Mn<jats:sub>2/3</jats:sub>O<jats:sub>2</jats:sub> is one of the preeminent cathode for sodium-ion batteries beca",0,crossref
10.1016/j.jelechem.2020.114600,Bio-synthesized P2-Na0.57CoO2 nanoparticles as cathode for aqueous sodium ion battery,2020,,17,crossref
10.1016/j.jallcom.2017.02.200,Electrochemical study of Na 0.66 Ni 0.33 Mn 0.67−x Mo x O 2 as cathode material for sodium-ion battery,2017,,24,crossref
10.14447/jnmes.v19i3.306,Synthesis of Na2MnFe(CN)6 and its Application as Cathode Material for Aqueous Rechargeable Sodium-ion Battery,2016,<jats:p>Prussian Blue type Na2MnFe(CN)6 was prepared by direct precipitation method and a subsequent drying procedure as a cath-ode material for aqueous rechargeable sodium-ion batteries. XRD patterns showed that Na2MnFe(CN)6 has a typical Prussian Blue struc-ture with space group Fm3m. Na2MnFe(CN)6 presents good electrochemical behaviors at 10 mAg-1 discharge current density with specific capacity 73.1 mAhg-1 after 30 cycles. The results show that Na2MnFe(CN)6 could be a potential cathode mater,9,crossref
10.1016/j.electacta.2020.135761,"High crystallinity, preferred orientation and superior reversible capacity P2–Na0.67Ni0.25Mn0.75O2 thin film as cathode material for wide voltage sodium-ion battery",2020,,10,crossref
10.1016/j.cej.2022.139607,Molecular design and post-synthetic vulcanization on two-dimensional covalent organic framework@rGO hybrids towards high-performance sodium-ion battery cathode,2023,,37,crossref
10.1007/s10800-019-01298-y,Synthesis and characterization of polyaniline nanofibers as cathode active material for sodium-ion battery,2019,,34,crossref
10.53619/kobs.2021.12.1.2.157,Electrochemical Performance of Alluaudite-type Na&lt;SUB&gt;2.5&lt;/SUB&gt;Fe&lt;SUB&gt;1.75&lt;/SUB&gt;(SO₄)₃@rGO Cathode Materials Sodium-Ion Battery,2021,,0,crossref
10.1246/cl.190137,Performance Modulation through Synergetic Effect of Interstitial Water with Ti-substitution for Sodium Ion Battery Cathode,2019,,6,crossref
10.1016/j.cplett.2023.140499,Electrochemical exfoliation and deposition of sodium-graphene oxide composite for high specific capacity cathode/anode for dual-carbon sodium ion battery application,2023,,5,crossref
10.1149/ma2018-02/5/418,Development of Nitrate Combustion Synthesized NVP-Type Cathode and Glucose-Derived Hard Carbon Anode for Sodium-Ion Battery Single Cells,2018,<jats:p>	 	The synthesis and characterization of a Na<jats:sub>3</jats:sub>V<jats:sub>2</jats:sub>(PO<jats:sub>4</jats:sub>)<jats:sub>3</jats:sub> cathode material for room-temperature sodium-ion battery is reported. The NVP material was prepared by a two-step process via sol-gel nitrate combustion method for precursor preparation and subsequent pyrolysis under Argon. Sodium-ion batteries have emerged as a promising candidate for large-scale energy storage due to sodium’s abundance and low cost ,0,crossref
10.3390/chemengineering9060143,Sustainable Solutions in Sodium-Ion Battery Cathode Materials: A Mini-Review of Strategies for Upgraded Performance Through Modification Techniques,2025,"<jats:p>Sodium-ion batteries (SIBs) have arisen as a potential alternative to lithium-ion batteries (LIBs) as a result of the abundant availability of sodium resources at low production costs, making them in line with the United Nations Sustainable Development Goals (SDGs) for affordable and clean energy (Goal 7). The current review intends to comprehensively analyse the various modification techniques deployed to improve the performance of cathode materials for SIBs, including element doping, s",0,crossref
10.2139/ssrn.4005792,New Insight into Ti Doping for Stabilizing the Na2/3fe1/3mn2/3o2 Cathode in Sodium Ion Battery,2022,,0,crossref
10.1016/j.jallcom.2022.166857,Hydrothermally prepared composite of Na3V2(PO4)2F3 with gelatin and graphene used as a high-performance sodium ion battery cathode,2022,,18,crossref
10.3390/nano12081290,Acid-Assisted Ball Mill Synthesis of Carboxyl-Functional-Group-Modified Prussian Blue as Sodium-Ion Battery Cathode,2022,"<jats:p>Prussian blue attracts the attention of many researchers as a promising candidate for use in sodium-ion battery cathodes due to its open frameworks and high working potential. However, the interstitial water in its crystal structure and its poor electronic conductivity limits its performance in practical sodium-ion batteries. Here, acid-assisted ball milling synthesis was employed as a versatile method for the production of surface-modified Prussian blue. With (CH3COO)2Fe being used as t",21,crossref
10.1016/j.nanoen.2018.05.015,Sequentially-processed Na3V2(PO4)3 for cathode material of aprotic sodium ion battery,2018,,61,crossref
10.1016/j.ssnmr.2019.07.001,Combining density functional theory and 23Na NMR to characterize Na2FePO4F as a potential sodium ion battery cathode,2019,,22,crossref
10.1016/j.electacta.2023.143375,Construction of polyaniline coated FeMnCu co-doped Prussian blue analogue as cathode for sodium ion battery,2023,,37,crossref
10.1016/j.ceramint.2021.09.115,Construction of simultaneous modified Na3V2(PO4)3/C cathode with K/Zr substitution and carbon nanotubes enwrapping for high performance sodium ion battery,2022,,32,crossref
10.1063/1674-0068/cjcp2403031,"First-principles study of P2-type Na
                    <i>x</i>
                    NiO2 and Na
                    <i>x</i>
                    Ni0.75M0.25O2 (M = Fe, Cu, Mn) cathode materials for sodium-ion battery",2025,"<jats:p>The development of affordable, high-efficiency sodium-ion batteries is primarily dependent on the advancement of cathode materials. These materials need to exhibit a high cell voltage, significant storage capacity, and quick diffusion of sodium ions to fulfill the requirements for efficient and ecofriendly energy storage systems. In this vein, density functional theory (DFT) calculation has become instrumental in advancing the study of battery materials. This study presents a first-princ",0,crossref
10.1039/d5se00687b,Sodium-ion battery research @ BAM (I): investigating the thermal runaway behaviour of commercial sodium-ion battery cells,2025,"<jats:p>Current commercial SIB-cells can go in TR even at a low SOC of 30% and, thus, should be classified alongside LIB-cells. Higher SOCs worsen TR-effects, lowering onset temperature, increasing peak pressure, and raising the risk of jelly roll ejection.</jats:p>",1,crossref
10.1016/j.nanoen.2018.09.073,Phase transition induced cracking plaguing layered cathode for sodium-ion battery,2018,,189,crossref
10.1039/c5ta08857g,Na-birnessite with high capacity and long cycle life for rechargeable aqueous sodium-ion battery cathode electrodes,2016,<p>Na-birnessite has been synthesized using a simple precipitation reaction at room temperature and exhibits a high capacity of 39 mA h g<sup>−1</sup> and long cycle life at 10C in Na-Bir/NaTi<sub>2</sub>(PO<sub>4</sub>)<sub>3</sub> full cells.</p>,69,crossref
10.1149/ma2018-02/5/356,A Strategy to Solve the Problem of Initial Charge Irreversibility in P2-Type Layered Cathode Materials for Sodium-Ion Battery,2018,"<jats:p>	 	Na-ion batteries are currently the focus of significant research activity due to the relative abundance of sodium and its consequent cost advantages. Thus, enormous efforts have been made to improve the electrochemical performance of SIBs through the development of novel cathode materials. </jats:p>
               <jats:p>According to the previous literatures, P2-type layered cathode materials for SIBs have suffered from their low initial coulombic efficiency, which inevitably require",0,crossref
10.1039/c7cc02303k,Nanostructured potassium and sodium ion incorporated Prussian blue frameworks as cathode materials for sodium-ion batteries,2017,<p>Nanostructured K<sub>x</sub>Na<sub>y</sub>MnFe(CN)<sub>6</sub> (<italic>x</italic> + <italic>y</italic> ≤ 2) has been synthesized <italic>via</italic> a facile co-precipitation method.</p>,110,crossref
10.1016/j.jcis.2024.02.150,Boosting sodium-ion battery performance by anion doping in NASICON Na4MnCr(PO4)3 cathode,2024,,20,crossref
10.15541/jim20190076,High-quality Fe4[Fe(CN)6]3 Nanocubes: Synthesis and Electrochemical Performance as Cathode Material for Aqueous Sodium-ion Battery,2019,,4,crossref
10.1002/bte2.20250056,Uncovering Full‐Cell Cycling Morphology Through a Rechargeable Sodium Ion Battery Based on Tungsten Oxide and Sodium Prussian Blue Intercalation Chemistry,2025,"<jats:title>ABSTRACT</jats:title>
                  <jats:p>
                    Half‐cells have been employed to investigate the intrinsic electrochemical behavior of the cathode material, as the chemical potential of the alkali metal reference electrode remains relatively constant during discharge. However, in full cells, the discharge mechanism is anode‐dependent. Herein, a rechargeable nonaqueous sodium ion battery (SIB) is fabricated using tungsten trioxide (WO
                    <jats:sub",0,crossref
10.1016/j.jpowsour.2016.01.082,"A sodium-ion battery exploiting layered oxide cathode, graphite anode and glyme-based electrolyte",2016,,160,crossref
10.1016/j.jallcom.2023.169482,K+-doped P2-Na0.67Fe0.5Mn0.5O2 cathode for highly enhanced rate performance sodium-ion battery,2023,,31,crossref
10.1016/j.jpowsour.2024.235159,Developing high-performance sodium-ion battery cathode materials through regulating the Ni/Fe ratio in Na0.67Ni Fe0.52-Mn0.48O2,2024,,19,crossref
10.1088/1755-1315/692/2/022042,A superior cathode of sodium-ion battery: A V2O5 nanosheets anchored on carbon nanofibers,2021,"<jats:title>Abstract</jats:title>
               <jats:p>Vanadium pentoxide (V<jats:sub>2</jats:sub>O<jats:sub>5</jats:sub>) as the cathode material has caused great concern in metal-ion batteries due to the diverse valence states of vanadium. However, structural instability and poor electrical and ionic conductivity significantly limit its application as high-efficiency electrodes. Herein, V<jats:sub>2</jats:sub>O<jats:sub>5</jats:sub> nanosheet is directly grown on electrospun carbon nanofiber",4,crossref
10.1016/j.jpowsour.2014.09.050,Electrochemical performance of NaFe (Ni0.5Ti0.5)1−O2 (x = 0.2 and x = 0.4) cathode for sodium-ion battery,2015,,37,crossref
10.1016/j.est.2023.110177,Enhanced conduction and phase transition reversibility of O3-type NaNi1/3Fe1/3Mn1/3O2 cathode via Ta doping for high-performance sodium-ion battery,2024,,39,crossref
10.1016/j.colsurfa.2021.127929,Layered O3-type Na9/10Cr1/2Fe1/2O2 as new cathode for rechargeable sodium-ion battery,2022,,14,crossref
10.1098/rsos.211092,"<i>In situ</i>
            polyaniline coating of Prussian blue as cathode material for sodium-ion battery",2021,"<jats:p>
            Prussian blue (PB) has great potential for use as a sodium cathode material owing to its high working potential and cube frame structure. Herein, this work reports a two-step method to synthesize PB with ascorbic acid as the ball-milling additive, which improves the electrochemical rate performance of PB during the traditional co-precipitation method. The obtained PB sample exhibited a superior specific capability (113.3 mAh g
            <jats:sup>−1</jats:sup>
            ",12,crossref
10.1016/j.cej.2020.124228,High-stability monoclinic nickel hexacyanoferrate cathode materials for ultrafast aqueous sodium ion battery,2020,,155,crossref
10.1016/j.jpowsour.2020.227879,A surface chemistry assistant strategy to high power/energy density and cost-effective cathode for sodium ion battery,2020,,39,crossref
10.1016/j.electacta.2022.141122,A molybdenum doped layer-spinel composite cathode material for sodium-ion battery,2022,,7,crossref
10.1016/j.jpowsour.2016.10.084,"NaN 3 addition, a strategy to overcome the problem of sodium deficiency in P2-Na 0.67 [Fe 0.5 Mn 0.5 ]O 2 cathode for sodium-ion battery",2017,,156,crossref
10.1016/j.jpowsour.2015.07.084,Effect of the electrolytic solvent and temperature on aluminium current collector stability: A case of sodium-ion battery cathode,2015,,45,crossref
10.15541/jim20240204,Rate and Cycling Performance of Ti and Cu Doped <i>β</i>-NaMnO<sub>2</sub> as Cathode of Sodium-ion Battery,2024,,3,crossref
10.1016/j.mtcomm.2022.103839,High stability of Mo-F dual-doped O3-type NaNi1/3Fe1/3Mn1/3O2 cathode material for sodium-ion battery,2022,,36,crossref
10.1016/j.jpowsour.2023.233426,"Lithium-ion battery, sodium-ion battery, or redox-flow battery: A comprehensive comparison in renewable energy systems",2023,,76,crossref
10.1007/s11581-025-06895-w,Optimization of electrochemical performance in P2-type sodium-ion battery cathode materials via sodium stoichiometry adjustment and MgO coating,2025,,1,crossref
